2018/08/16 21:45:42 [error] 4788#9652: *1 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1"
2018/08/16 21:45:48 [error] 4788#9652: *2 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:46:05 [error] 4788#9652: *4 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:46:05 [error] 4788#9652: *5 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:46:05 [error] 4788#9652: *6 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:48:42 [error] 4788#9652: *7 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:48:42 [error] 4788#9652: *9 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:48:42 [error] 4788#9652: *10 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:49:43 [error] 4788#9652: *11 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:49:43 [error] 4788#9652: *10 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:49:43 [error] 4788#9652: *9 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:54:34 [error] 4788#9652: *13 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/PV" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /PV?peerid=0&uri=http://thunderqtypv.union.xunlei.com&src=www.yyoyyu.com HTTP/1.1", host: "analytics-union.xunlei.com", referrer: "http://www.yyoyyu.com/movie-12659.html"
2018/08/16 21:54:48 [error] 4788#9652: *13 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/PV" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /PV?peerid=0&uri=http://thunderqtypv.union.xunlei.com&src=www.yyoyyu.com HTTP/1.1", host: "analytics-union.xunlei.com", referrer: "http://www.yyoyyu.com/movie-12659.html"
2018/08/16 21:57:14 [error] 4788#9652: *14 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:57:14 [error] 4788#9652: *15 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:57:14 [error] 4788#9652: *16 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:57:53 [error] 4788#9652: *16 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:57:53 [error] 4788#9652: *15 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 21:57:53 [error] 4788#9652: *14 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/16 22:02:03 [error] 4788#9652: *23 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
